start	end	text
3519400	3523400	and that is why they are called Dhamma-Bhandagarika,
3523400	3528400	they are like treasures,
3528400	3532400	keeping the words of Buddha quite safe,
3532400	3537400	from generation to generation, from generation to generation.
3537400	3540400	We are thankful to them.
3540400	3542400	Let both be joined together.
3542400	3545400	We understand the words of Buddha,
3545400	3548400	and we practice.
3548400	3550400	We understand the words of Buddha,
3550400	3553400	and we practice.
3553400	3556400	Then we get so much confidence in our practice.
3556400	3560400	I am practicing as Buddha wanted me to practice.
3560400	3563400	I am practicing in the right way.
3563400	3566400	I am practicing in the proper way.
3566400	3569400	These seven days,
3569400	3572400	we will make use of this particular sutra.
3572400	3574400	Later on,
3574400	3578400	it is not necessary that every student
3578400	3582400	must study the entire Tipitaka, all the words of Buddha.
3582400	3584400	Not necessary.
3584400	3588400	If someone finds time to go through all that,
3588400	3592400	wonderful, every word as I say is like a nectar,
3592400	3595400	and for a Vipassana meditator, every word is
3595400	3598400	like a guidance being given by Buddha,
3598400	3601400	as if he is saying these words to me, for my purpose.
3601400	3602400	To me he is guiding.
3602400	3604400	Hey, you work like this.
3604400	3606400	Hey, you understand like this.
3606400	3609400	It will become so clear, so inspiring.
3609400	3612400	But yet I say it is not necessary.
3612400	3618400	Even a few sutras one has properly understood, good enough.
3618400	3621400	Buddha says that even one gatha, even two lines,
3621400	3623400	if you understood properly,
3623400	3625400	and you work according to that,
3625400	3628400	good enough to take you to the final goal.
3628400	3633400	One literal meaning of this word pariyatti is,
3633400	3638400	in Sanskrit or Hindi we say pariyatti, sufficient.
3638400	3642400	What is sufficient for you to get inspiration and work
3642400	3645400	and reach the final goal is pariyatti.
3645400	3648400	It can be sufficient, one sutra should be sufficient for you
3648400	3650400	to take you to the final goal.
3650400	3654400	Even one gatha, one verse will be sufficient to take you to the final goal.
3654400	3660400	For some larger, more number of discourses will be sufficient
3660400	3664400	to give them inspiration to reach the final goal.
3664400	3669400	But final goal will be reached only when you take steps on the path.
3669400	3677400	Therefore a warning for everyone who manages such Vipashyana centres,
3677400	3682400	here, around the world, now and in future,
3682400	3688400	that practice of Vipashyana will remain the main teaching here,
3688400	3693400	the main activity here, and the words of Buddha,
3693400	3696400	like you get evening discourses.
3696400	3702400	Every course you go to evening discourse to understand how you must practice,
3702400	3704400	which is the proper way of practice.
3704400	3707400	And why we are practicing in this way?
3707400	3710400	To understand it at the intellectual level,
3710400	3716400	and to develop great confidence in whatever step you are taking
3716400	3721400	for that purpose these evening discourses, and for that purpose the pariyatti.
3721400	3726400	Such centres can take up a few sutras, a few discourses,
3726400	3731400	and discuss in the evening discourses so that people understand.
3731400	3736400	But that should not become the main aim.
3736400	3742400	Otherwise these meditation centres will become pariyatti centres,
3742400	3746400	where all the Tipitikas will be taught and people will be just discussing
3746400	3750400	and reciting and debating and reciting, playing emotional games,
3750400	3755400	devotional games, playing intellectual games, but not practicing.
3755400	3758400	It will be a great misfortune.
3758400	3761400	That should not be allowed to happen.
3761400	3765400	So understand, these seven days from tomorrow evening,
3765400	3767400	when we are reciting this sutra,
3767400	3772400	it will be to understand the practical aspect of it properly.
3772400	3778400	To understand the patipatti, to understand the pativedhan properly.
3778400	3784400	Every step that we take on the path, let us understand it properly,
3784400	3790400	so that we do not get diverted to something else.
3790400	3793400	No deviation. We remain on the right path,
3793400	3796400	the straight path which takes us to the final goal.
3796400	3801400	Without wasting our time here and there on some side issues,
3801400	3803400	we are on the path.
3803400	3807400	Just to understand it properly, this recitation every evening,
3807400	3810400	the understanding of the words of Buddha every evening,
3810400	3814400	but the practice will remain the same.
3814400	3818400	Now you are on anapanas.
3818400	3824400	Keep on giving your time to the observation of respiration,
3824400	3828400	the truth of the breath coming in, going out.
3828400	3832400	This is sati. You are witnessing it.
3832400	3835400	This is not merely because the book says so.
3835400	3838400	This is not merely because your teacher says so.
3838400	3840400	This is not merely because Buddha said so.
3840400	3844400	This is nature. This is the nature of a living person.
3844400	3847400	We are alive. So the breath is there.
3847400	3852400	And I am witnessing this breath coming in, going out,
3852400	3856400	coming in, going out, as it is.
3856400	3859400	I am not making it a breathing exercise.
3859400	3861400	I am not doing anything to regulate it.
3861400	3864400	Just observing. Just observing.
3864400	3868400	And as I observe, as I observe, as I witness, as I witness,
3868400	3871400	as I witness my mind gets concentrated, concentrated.
3871400	3876400	Naturally, the breath becomes finer and finer, shorter and shorter.
3876400	3879400	Till it reaches the stage where it makes a U-turn,
3879400	3882400	as it comes out, so it starts entering in, as it comes out,
3882400	3885400	so it starts entering in. And you are aware of it.
3885400	3888400	You do nothing. You are aware of it.
3888400	3891400	And at times you feel as if it has stopped.
3891400	3895400	And then again you feel some hunger for the oxygen,
3895400	3897400	and again a big breath comes.
3897400	3901400	And again you are aware of it. It becomes shorter, shorter, shorter, shorter.
3901400	3904400	It starts making a U-turn here. You feel it has stopped.
3904400	3906400	And again a big breath will come.
3906400	3909400	So if it's a big breath, you are aware. It's a big breath. It's a long breath.
3909400	3912400	If it's a short breath, you are aware. It's a short breath. It's a short breath.
3912400	3917400	You are just aware. You are aware of the reality as it is.
3917400	3921400	Of course, at times when you can't feel the breath at all,
3921400	3923400	it becomes so subtle.
3923400	3929400	Then as usual you are permitted to take a few breaths intentionally, consciously,
3929400	3933400	but that is just to help you to come to the stage
3933400	3937400	where you start feeling the natural breath as it comes in, as it goes out,
3937400	3941400	as it comes in, as it goes out.
3941400	3946400	Understand your usual courses are for 10 days,
3946400	3950400	and this Satipatthana course is only for 8 days.
3951400	3954400	Time is short.
3954400	3958400	You have to make use of this time more seriously.
3958400	3962400	And being old students, you have got one wonderful advantage
3962400	3966400	that in these usual, ordinary courses,
3966400	3971400	you have quite a few number of new students
3971400	3976400	which remain confused for a number of days what is happening.
3976400	3979400	And they don't understand the value of discipline.
3979400	3982400	They don't understand the value of silence.
3982400	3985400	So they keep on disturbing.
3985400	3992400	Now there are old students, matured students,
3992400	3997400	having taken at least a couple of courses, maybe even more.
3997400	4001400	So they understand how they have to work.
4001400	4005400	And another thing that they understand which is very important is
4005400	4008400	continuity is the secret of success.
4008400	4013400	So far as this technique is concerned, continuity, continuity.
4013400	4018400	You work for some time, and then you feel very lazy.
4018400	4023400	You stop working, or you start roaming about, wandering about here and there.
4023400	4028400	Or you lie down and sleep, and then after some time again you start.
4028400	4033400	You work a little, and then you stop working, you work a little, you stop working.
4033400	4037400	You can't reach the goal. Continuous, continuous.
4037400	4040400	Of course, mind will wander away, and you can't bring it back.
4040400	4043400	It wanders, you bring it back, it wanders, it brings it back.
4043400	4048400	That is, your effort is continuous efforts, continuous efforts.
4048400	4056400	Day and night, you have to work very seriously, day and night.
4056400	4064400	There is no recess period for you.
4064400	4072400	Even the times what are called recess periods, like from morning 6.30 to 8 o'clock,
4072400	4080400	or day 11 to 1, and then 5 to 6, and night from 9 to 4.30 in the morning.
4080400	4084400	There is also time for meditation, awareness.
4084400	4088400	Satipatthana, sati must get established.
4088400	4091400	Awareness must get established.
4091400	4094400	So all the time you are aware, you are aware, you are aware.
4094400	4098400	Now you are in Anapanas, you are aware of respiration, aware of respiration.
4098400	4102400	Whether you are sitting or standing or walking or lying,
4102400	4107400	whether you are bathing or washing, whether you are eating or drinking,
4107400	4111400	or even when you are lying down, till the time you get deep sleep,
4111400	4118400	you are aware of respiration, respiration, natural breath coming in, going out, coming in, going out.
4119400	4125400	Day and night, only the period when you are in deep sleep,
4125400	4128400	rest of the time you are aware, you are aware.
4128400	4131400	This is how the awareness will get established.
4131400	4136400	The sati will get patthana, patitha pita.
4136400	4139400	It becomes established, well established.
4139400	4143400	And when you switch over to be pashana,
4143400	4149400	then all the time you are aware of anicca, anicca, anicca,
4149400	4152400	arising, passing, arising, passing.
4152400	4155400	Day and night again.
4155400	4159400	All the rules are so important for you.
4159400	4163400	It's a very rare opportunity for somebody to get a course like this
4163400	4167400	where there are no new students, only old students are there.
4167400	4170400	With least disturbance, everybody is so serious.
4170400	4174400	You got this opportunity, you got this facility, make use of it.
4174400	4178400	And get your awareness established with wisdom,
4178400	4184400	so that you come nearer and nearer to the final goal.
4184400	4189400	Make best use of this opportunity.
4189400	4192400	Make best use of your time.
4192400	4196400	Make best use of whatever facility is available here.
4196400	4202400	And make best use of this wonderful dhamma, the wonderful technique
4202400	4210400	for your own good, for your own benefit, for your own liberation.
4210400	4216400	Liberation from the bondages, the shackles, the chains of craving,
4216400	4221400	of aversion, of ignorance.
4221400	4230400	To enjoy real peace, real harmony, real happiness.
4230400	4247400	May all of you enjoy real peace, real harmony, real happiness, real happiness.
4311400	4334400	You may take rest for about five minutes.
4334400	4338400	Take rest with the awareness of respiration.
4338400	4341400	Come back and sit and continue to work sitting.
4341400	4346400	Awareness of respiration, awareness of respiration.
4346400	4352400	Maintain the continuity, maintain the continuity.
4352400	4357400	Now take rest, take rest.
